ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Crime_Year,Month,Day,Hour,Day_of_Week,Day_Name,Month_Name,Is_Weekend,Is_Late_Night,Is_Rush_Hour,Season,Time_of_Day,Crime_Severity,District_Crime_Count,Ward_Crime_Count,Primary_Type_Encoded,Time_of_Day_Encoded,Season_Encoded,Day_Name_Encoded,Latitude_Scaled,Longitude_Scaled,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,Final_Geo_Cluster
13863237,JJ288578,2025-06-10 08:50:00,061XX N SHERIDAN RD,0460,BATTERY,SIMPLE,SIDEWALK,0,0,2433,24,48,77,08B,1168512.0,1941030.0,2025,06/18/2025 04:00:29 PM,41.993717892,-87.655501171,"(41.993717892, -87.655501171)",2025,6,10,8,1,Tuesday,June,0,0,1,Summer,Morning,3,16276,6775,2,2,2,5,1.6999656363052624,0.2148055271645,0,-1,0,0
13494812,JH305427,2024-06-12 12:00:00,016XX W WRIGHTWOOD AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,0,0,1931,19,32,7,06,1164747.0,1917325.0,2024,05/17/2025 03:40:52 PM,41.928751307,-87.670025302,"(41.928751307, -87.670025302)",2024,6,12,12,2,Wednesday,June,0,0,0,Summer,Afternoon,2,26728,7452,29,0,2,6,0.949059019898126,-0.0313331300909601,0,-1,-1,0
14094792,JK129860,2026-01-26 00:00:00,010XX S RACINE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,0,0,1231,12,28,28,06,1168532.0,1895622.0,2026,02/02/2026 03:41:58 PM,41.869115675,-87.656745691,"(41.869115675, -87.656745691)",2026,1,26,0,0,Monday,January,0,1,0,Winter,Night,2,31406,22135,29,3,3,1,0.2597694313747729,0.1937148001717748,0,-1,-1,0
13723423,JJ118692,2025-01-17 15:00:00,070XX S RHODES AVE,0460,BATTERY,SIMPLE,STREET,0,0,322,3,6,69,08B,1181124.0,1858439.0,2025,11/02/2025 03:41:09 PM,41.766801004,-87.611664319,"(41.766801004, -87.611664319)",2025,1,17,15,4,Friday,January,0,0,0,Winter,Afternoon,3,26103,18645,2,0,3,0,-0.9228194858265896,0.9577032529964032,1,-1,-1,1
14100368,JK133534,2026-01-31 11:23:00,022XX W DIVERSEY PKWY,2210,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,BOWLING ALLEY,1,0,1432,14,32,22,22,1161089.0,1918562.0,2026,02/08/2026 03:42:11 PM,41.932222582,-87.683432779,"(41.932222582, -87.683432779)",2026,1,31,11,5,Saturday,January,1,0,0,Winter,Morning,2,17945,7452,15,2,3,2,0.9891812360323214,-0.2585479896900216,0,-1,-1,0
13858415,JJ282654,2025-06-05 14:43:00,070XX S MAY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SCHOOL - PRIVATE GROUNDS,0,0,733,7,16,68,15,1169870.0,1858045.0,2025,11/02/2025 03:41:09 PM,41.765971524,-87.652925956,"(41.765971524, -87.652925956)",2025,6,5,14,3,Thursday,June,0,0,0,Summer,Afternoon,4,21009,15361,30,0,2,4,-0.932406907116742,0.2584473782495912,1,-1,-1,1
13943647,JJ386010,2025-08-23 05:00:00,102XX S NORMAL AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,0,1,2232,22,9,73,05,1174771.0,1837102.0,2025,11/02/2025 03:41:09 PM,41.708393413,-87.635584508,"(41.708393413, -87.635584508)",2025,8,23,5,5,Saturday,August,1,0,0,Summer,Night,4,15725,14943,3,3,2,2,-1.5979149449814791,0.5523307593336271,1,-1,-1,1
13566984,JH391649,2024-08-17 12:40:00,017XX W LAWRENCE AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,OTHER (SPECIFY),0,0,2032,20,47,3,02,1163795.0,1931925.0,2024,05/17/2025 03:40:52 PM,41.9688346,-87.673110306,"(41.9688346, -87.673110306)",2024,8,17,12,5,Saturday,August,1,0,0,Summer,Afternoon,2,10690,5200,6,0,2,2,1.4123558042540718,-0.0836143125030017,0,-1,-1,0
13502110,JH314325,2024-06-20 14:00:00,005XX N LOCKWOOD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0,0,1523,15,37,25,11,1140932.0,1903207.0,2024,05/17/2025 03:40:52 PM,41.890482129,-87.757886457,"(41.890482129, -87.757886457)",2024,6,20,14,3,Thursday,June,0,0,0,Summer,Afternoon,2,16669,13455,8,0,2,4,0.5067304141285243,-1.520305290739402,0,-1,-1,0
13807485,JJ220181,2025-04-16 09:00:00,017XX E 74TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,324,3,7,43,14,1189276.0,1856262.0,2025,05/17/2025 03:40:52 PM,41.760635555,-87.58185417,"(41.760635555, -87.58185417)",2025,4,16,9,2,Wednesday,April,0,0,1,Spring,Morning,3,26103,14294,5,2,1,6,-0.994081911690923,1.462892172556835,1,-1,-1,1
